TimeStamp,StudentID,Comment,Color,Size,Speed
2026/9/5 23:15:32,123,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,#ffffff,medium,12
2026/9/5 23:18:55,456,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,#ffffff,medium,8
2026/9/5 23:18:59,456,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,#ff0000,medium,8
2026/9/5 23:19:02,456,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,#ff0000,large,8
2026/9/5 23:19:13,456,Ç´Ç‡,#ff0000,large,8
2026/9/5 23:23:18,456,Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†Ç†,#ffffff,medium,12
2026/9/5 23:34:31,789,1,#ffffff,medium,12
2026/9/5 23:34:33,789,4,#ffffff,medium,12
2026/9/5 23:34:34,789,6,#ffffff,medium,12
2026/9/5 23:50:43,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/5 23:50:46,789,ÇÌÇ©ÇÁÇ»Ç¢,#00ff00,medium,12
2026/9/6 0:01:27,789,2,#ffffff,medium,12
2026/9/6 0:01:29,789,3,#ffffff,medium,12
2026/9/6 0:01:33,789,4,#ffffff,medium,12
2026/9/6 0:01:58,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:02:02,789,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12
2026/9/6 0:02:09,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,4
2026/9/6 0:02:13,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,xlarge,4
2026/9/6 0:02:16,789,4,#ffffff,xlarge,4
2026/9/6 0:02:21,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,xlarge,16
2026/9/6 0:04:25,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:04:29,789,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,4
2026/9/6 0:06:02,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:06:07,789,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:06:28,123,3,#ffffff,medium,12
2026/9/6 0:06:53,123,2,#ffffff,medium,12
2026/9/6 0:08:24,123,3,#ffffff,medium,12
2026/9/6 0:08:26,123,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:08:28,123,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:09:11,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12
2026/9/6 0:09:13,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12
2026/9/6 0:13:03,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:13:05,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:13:08,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:13:08,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:13:09,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:13:09,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:13:10,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:13:11,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:13:12,456,2,#ffffff,medium,12,true
2026/9/6 0:13:13,456,3,#ffffff,medium,12,true
2026/9/6 0:13:13,456,4,#ffffff,medium,12,true
2026/9/6 0:15:08,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:15:10,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:15:11,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:12,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:15:13,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:13,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:15:14,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:15:14,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:16,456,3,#ffffff,medium,12,true
2026/9/6 0:15:16,456,4,#ffffff,medium,12,true
2026/9/6 0:15:16,456,5,#ffffff,medium,12,true
2026/9/6 0:15:17,456,5,#ffffff,medium,12,true
2026/9/6 0:15:19,456,ÇÌÇ©ÇÁÇ»Ç¢,#ffffff,medium,12,true
2026/9/6 0:15:19,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:23,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:24,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:24,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:24,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:24,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:24,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:25,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:26,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:27,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:27,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:27,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:27,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:27,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:28,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:28,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:28,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:28,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:28,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:29,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:29,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:29,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:29,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:29,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:30,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:30,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:30,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:30,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:30,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:31,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:31,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:31,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:31,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:31,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:32,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:32,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:32,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:15:32,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:54,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:17:55,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:17:55,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:17:55,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:17:55,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,false
2026/9/6 0:17:57,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:57,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:57,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:58,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:59,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:59,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:59,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:59,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:17:59,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:00,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:01,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:01,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:01,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:01,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
2026/9/6 0:18:01,456,ÇÌÇ©Ç¡ÇΩ,#ffffff,medium,12,true
